***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,39.01,,,,,,System Temp (C):,38.38,,,,,,,
Humidity (%):,47.07,,,,,,Humidity (%):,47.13,,,,,,,
Lamp ADC:,3068,3083,845,843,,,Lamp ADC:,3069,3082,845,842,,,,
Data Date-Time:,2025/04/03T10:34:32,,,,,,Data Date-Time:,2025/04/03T10:30:29,,,,,,,
Total Measurement Time in sec:,6.4726301,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-4.78706677830951,0.0420606707536571,-9.21439965724389E-05,,,,,
Serial Number:,C23R001,(95UB125GC0VC23R001),,,,,Pixel to Wavelength Coefficients:,1777.69850932213,-0.910890781979712,-0.000240535926235214,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,5min 12sec ,,,,,,,
UUID:,DE:67:0C:88:67:3E:75:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Reflectance (unitless)
900.868887283122,0.514300088278009
904.747472781646,0.520869289563594
909.912185107076,0.528099200154497
913.780668096698,0.533637374860957
917.644821439648,0.536782238073044
921.504645135925,0.542231350901967
925.36013918553,0.546239265050907
929.211303588463,0.55114818439807
933.058138344724,0.5545544923574
938.180516347137,0.561428876194088
942.017248594496,0.566016191886377
945.849651195182,0.570098541966959
949.677724149196,0.574757415588514
953.501467456539,0.578973539446896
957.320881117208,0.583835377369767
961.135965131206,0.588413282655387
966.216008810601,0.593936428731683
970.020990315697,0.597722654443214
973.821642174121,0.601281980549607
977.617964385872,0.605745853139446
981.409956950951,0.609968027082942
985.197619869358,0.613929134561033
988.980953141092,0.616695101526986
994.01866249747,0.622284477879651
997.791893260303,0.625608898494048
1001.56079437646,0.62884736413055
1005.32536584595,0.633346079826481
1009.08560766877,0.636089326781489
1012.84151984491,0.639678732344038
1016.59310237438,0.642967336950739
1021.58847740774,0.647393001817604
1025.32995742831,0.650560380774159
1029.06710780221,0.65442122922068
1032.79992852944,0.6577930871328
1036.52841960999,0.65978532334343
1040.25258104387,0.662907578902931
1043.97241283108,0.665513988021987
1047.68791497161,0.669110644027718
1052.63518281973,0.672406488816498
1056.34058245136,0.67534876833309
1060.04165243632,0.677521854122834
1063.73839277461,0.680443306230635
1067.43080346623,0.68304058908775
1071.11888451118,0.685469469371631
1074.80263590945,0.687772517688619
1079.70756943455,0.690721692295554
1083.38121832392,0.693371849023486
1087.05053756662,0.695188966296992
1090.71552716264,0.69748056258919
1094.376187112,0.698960207751855
1098.03251741468,0.701652975953905
1101.68451807069,0.703519998032376
1106.54711727277,0.705703095419366
1110.18901541988,0.707119590318686
1113.82658392031,0.709120479159697
1117.45982277408,0.709668885321404
1121.08873198117,0.710997018880424
1124.71331154159,0.71245131088373
1128.33356145534,0.7126776350974
1133.1538263344,0.713139608957711
1136.76397373924,0.714527633406689
1140.36979149742,0.714499243911009
1143.97127960892,0.714083258837635
1147.56843807374,0.714523562622422
1151.1612668919,0.714456540218182
1154.74976606338,0.713663753428037
1159.52769661943,0.71313425469834
1163.10609328201,0.712393600377727
1166.68016029792,0.71197843059489
1170.24989766716,0.711804951693056
1173.81530538972,0.711352727913223
1177.37638346562,0.711021842832036
1180.93313189484,0.709751901403238
1185.66872812787,0.708288787204926
1189.21537404818,0.707400240259523
1192.75769032183,0.707733871094576
1196.29567694881,0.707329633924421
1199.82933392911,0.707173217890061
1203.35866126274,0.707022074107623
1206.8836589497,0.707809090331873
1211.57692085971,0.70890824351304
1215.09181603776,0.71033519099225
1218.60238156915,0.712398287590485
1222.10861745386,0.714712924350294
1225.6105236919,0.717969457847001
1229.10810028326,0.720324160357438
1232.60134722796,0.722384759521466
1236.09026452598,0.724046533068077
1240.73541925074,0.726083735928984
1244.21423403986,0.726971291943043
1247.68871918231,0.728593294167065
1251.15887467809,0.730324361003016
1254.62470052719,0.730540248393909
1258.08619672962,0.731398468327215
1261.54336328538,0.732837347968967
1266.14618368713,0.733202351810513
1269.59324773399,0.734048252432168
1273.03598213417,0.734639518604171
1276.47438688769,0.735693816123858
1279.90846199453,0.736042938919133
1283.3382074547,0.737258733374706
1286.76362326819,0.737775721696919
