***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.14,,,,,,System Temp (C):,40.91,,,,,,,
Humidity (%):,39.08,,,,,,Humidity (%):,39.19,,,,,,,
Lamp ADC:,3083,3085,851,854,,,Lamp ADC:,3083,3085,851,853,,,,
Data Date-Time:,2025/04/03T11:56:10,,,,,,Data Date-Time:,2025/04/03T11:54:51,,,,,,,
Total Measurement Time in sec:,6.468841,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,15min 36sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.225921407747504,117744,69987
904.749703961815,0.223582553917661,126581,75646
909.9280239805,0.224787437845279,138400,82480
913.806712784643,0.222606481379106,148958,89219
917.681071980326,0.219845773809174,161739,97492
921.551101567548,0.21988454144248,177366,106902
925.41680154631,0.217973611089728,195587,118404
929.278171916611,0.216802127733403,216717,131550
933.135212678451,0.216739333221103,239219,145230
936.987923831831,0.215819899653644,261230,158929
942.118137089843,0.215392451099843,287926,175343
945.960745823482,0.213737129224934,304864,186367
949.79902494866,0.213081373330414,320571,196265
953.632974465377,0.212248332825067,335139,205578
957.462594373634,0.211362878592872,348931,214475
961.287884673431,0.210851565641508,361977,222756
965.108845364766,0.209775709344386,374576,231081
970.196724673387,0.20961624748643,390955,241274
974.007582944981,0.208996500821206,402533,248774
977.814111608115,0.208784437801857,414010,255992
981.616310662789,0.208148400776495,424006,262557
985.414180109002,0.207951843661778,433588,268612
989.207719946754,0.207630521162818,442171,274132
992.996930176046,0.207309302159262,450198,279315
996.781810796877,0.206771984785074,457304,284075
1001.82158334482,0.206527216353347,465995,289637
1005.59636154591,0.205964752729228,470990,293121
1009.36681013854,0.20612369260012,475594,295878
1013.13292912271,0.20561452637427,479362,298572
1016.89471849842,0.205382330961132,482421,300638
1020.65217826567,0.205036933801623,484465,302152
1024.40530842446,0.204808519788304,486441,303544
1028.15410897478,0.204766922283924,488000,304546
1033.14577476206,0.204669402718222,489446,305517
1036.88447289264,0.204335122300802,489849,306004
1040.61884141477,0.204307702279046,490111,306187
1044.34888032843,0.203830472716492,490070,306498
1048.07458963364,0.203724760515376,488771,305760
1051.79596933038,0.203799414906284,487536,304935
1055.51301941866,0.203746409819957,485734,303845
1059.22573989848,0.203409653713345,485054,303655
1064.16929892509,0.20298294385093,484292,303476
1067.87191698517,0.202880073129624,484632,303761
1071.57020543679,0.202972000451264,485941,304517
1075.26416427995,0.202831841512302,486861,305192
1078.95379351464,0.202763745884687,488469,306248
1082.63909314088,0.202712922698853,490643,307647
1086.32006315866,0.201944860004944,493132,309755
1091.22128823587,0.201838740332904,496034,311654
1094.89215583391,0.202328357101514,499868,313709
1098.55869382348,0.201916695632578,503328,316180
1102.2209022046,0.201988718524078,507005,318437
1105.87878097725,0.20211224866424,510825,320745
1109.53233014145,0.201972110955538,514935,323430
1113.18154969718,0.202249539612879,519121,325851
1116.82643964446,0.202274504319043,522777,328127
1121.67955796099,0.202536333806719,527929,331161
1125.31434548853,0.202588611745255,531886,333603
1128.9448034076,0.202916881723619,536033,335950
1132.57093171821,0.203595278863129,540489,338214
1136.19273042036,0.203694426387371,544698,340770
1139.81019951405,0.204422520610377,549128,342966
1143.42333899928,0.204702374733504,553388,345404
1147.03214887605,0.205416658941415,557953,347681
1151.83716043191,0.205474697665198,563560,351128
1155.43586788894,0.206608783059619,568260,353133
1159.03024573751,0.206963731262821,572796,355661
1162.62029397761,0.207620360297455,577837,358249
1166.20601260926,0.20851124077527,583263,360872
1169.78740163244,0.20910917124979,588218,363437
1173.36446104717,0.209640674682888,593568,366294
1176.93719085343,0.209831534308373,599576,369839
1181.69409564862,0.210607531850588,607104,373814
