***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,36.28,,,,,,System Temp (C):,35.46,,,,,,,
Humidity (%):,49.54,,,,,,Humidity (%):,50.89,,,,,,,
Lamp ADC:,3083,3085,851,854,,,Lamp ADC:,3083,3086,851,853,,,,
Data Date-Time:,2025/04/03T10:03:24,,,,,,Data Date-Time:,2025/04/03T09:55:32,,,,,,,
Total Measurement Time in sec:,6.4587563,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,4min 7sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Reflectance (unitless)
900.860912737931,0.551037175697309
904.749703961815,0.552837850599679
909.9280239805,0.553391354383946
913.806712784643,0.552906895333098
917.681071980326,0.553647963557101
921.551101567548,0.554313330289634
925.41680154631,0.55566541526972
929.278171916611,0.555399135414073
933.135212678451,0.556360381224567
936.987923831831,0.557797701444235
942.118137089843,0.558467991473561
945.960745823482,0.559527646731327
949.79902494866,0.560243132047137
953.632974465377,0.561138809491268
957.462594373634,0.562416030643455
961.287884673431,0.562250446714169
965.108845364766,0.562540645422659
970.196724673387,0.56425241701682
974.007582944981,0.564128395747933
977.814111608115,0.564960083094798
981.616310662789,0.564638559326027
985.414180109002,0.564671240893403
989.207719946754,0.565074168612919
992.996930176046,0.565696137872832
996.781810796877,0.565815070516538
1001.82158334482,0.565487346949291
1005.59636154591,0.566122930739478
1009.36681013854,0.5669813781671
1013.13292912271,0.566940081794895
1016.89471849842,0.567790015004265
1020.65217826567,0.567625872521914
1024.40530842446,0.567853711426532
1028.15410897478,0.568538615746697
1033.14577476206,0.568380868209632
1036.88447289264,0.568850257816763
1040.61884141477,0.569270154419486
1044.34888032843,0.570134304947389
1048.07458963364,0.569280739420261
1051.79596933038,0.570241011101005
1055.51301941866,0.570128979228597
1059.22573989848,0.570650088106272
1064.16929892509,0.570184660059027
1067.87191698517,0.570689637385877
1071.57020543679,0.570942029433143
1075.26416427995,0.571105561693686
1078.95379351464,0.571148672718562
1082.63909314088,0.57071075633541
1086.32006315866,0.571523294293223
1091.22128823587,0.571364374639793
1094.89215583391,0.57127285309418
1098.55869382348,0.571021875639007
1102.2209022046,0.571406043641955
1105.87878097725,0.571383017849178
1109.53233014145,0.570829686186906
1113.18154969718,0.570596514603354
1116.82643964446,0.570532981288202
1121.67955796099,0.570483460559796
1125.31434548853,0.569777659282847
1128.9448034076,0.570196823976739
1132.57093171821,0.569565177209926
1136.19273042036,0.569133619693563
1139.81019951405,0.568125797009701
1143.42333899928,0.567656169893203
1147.03214887605,0.567237049958985
1151.83716043191,0.56646762624356
1155.43586788894,0.565904009225014
1159.03024573751,0.564909374645824
1162.62029397761,0.564293293974912
1166.20601260926,0.563316825579484
1169.78740163244,0.562575590797288
1173.36446104717,0.56216446298094
1176.93719085343,0.561637766633411
1181.69409564862,0.560522931283448
1185.25672303515,0.560171821864983
1188.81502081321,0.559943652901876
1192.36898898281,0.559797977224671
1195.91862754395,0.559036546733592
1199.46393649663,0.559026334430926
1203.00491584085,0.558736719644462
1206.54156557661,0.559462391275573
1211.25036361113,0.559634416078739
1214.77691092715,0.560425897660082
1218.29912863471,0.561144312209816
1221.8170167338,0.562565951969572
1225.33057522444,0.563213467048711
1228.83980410662,0.563990729005071
1232.34470338033,0.56474370147139
1237.01116746546,0.565598987739818
1240.50596431943,0.566188092275426
1243.99643156495,0.566991232622293
1247.482569202,0.567229299449175
1250.96437723059,0.567340424821544
1254.44185565073,0.567966032506384
1257.9150044624,0.568267206467151
1261.38382366561,0.568613730635959
1266.00218099006,0.568878994445232
1269.46089777353,0.569017230538315
1272.91528494854,0.569270746903616
1276.36534251509,0.569317850076227
1279.81107047318,0.569331681635181
1283.2524688228,0.569953470270483
1286.68953756397,0.570102221950174
